t4,x4,y4,z4,q1,q2,q3,q4,img
1533558242910,6.943038,0.000002,-7.120465,0.707093,0.004368,-0.004368,-0.707093,img_0_0_1533558244045720200.png
1533558242973,6.938020,0.000002,-7.121016,0.707096,0.003987,-0.003987,-0.707096,img_0_0_1533558244148860100.png
1533558243111,6.928518,0.000002,-7.122301,0.707106,0.001101,-0.001101,-0.707106,img_0_0_1533558244260211700.png
1533558243184,6.923676,0.000002,-7.124605,0.706971,-0.013836,0.013836,-0.706971,img_0_0_1533558244337713500.png
1533558243310,6.909694,0.000002,-7.134367,0.706625,-0.026091,0.026091,-0.706625,img_0_0_1533558244453221400.png
1533558243394,6.894096,0.000002,-7.144791,0.706469,-0.030032,0.030032,-0.706469,img_0_0_1533558244552833000.png
1533558243538,6.852890,0.000002,-7.169688,0.706322,-0.033306,0.033306,-0.706322,img_0_0_1533558244680571100.png
1533558243625,6.818420,0.000002,-7.188941,0.706279,-0.034201,0.034201,-0.706279,img_0_0_1533558244766105100.png
1533558243685,6.790812,0.000002,-7.199193,0.706848,-0.019122,0.019122,-0.706848,img_0_0_1533558244854653000.png
1533558243823,6.723262,0.000002,-7.189275,0.707097,0.003656,-0.003656,-0.707097,img_0_0_1533558244964951000.png
1533558243913,6.679500,0.000002,-7.181505,0.707023,0.010906,-0.010906,-0.707023,img_0_0_1533558245065176200.png
1533558244018,6.631580,0.000002,-7.175529,0.706955,0.014662,-0.014662,-0.706955,img_0_0_1533558245166548300.png
1533558244090,6.601295,0.000002,-7.172876,0.706936,0.015564,-0.015564,-0.706935,img_0_0_1533558245245803900.png
1533558244216,6.553755,0.000002,-7.169976,0.706940,0.015357,-0.015357,-0.706940,img_0_0_1533558245368714800.png
1533558244285,6.530638,0.000002,-7.168999,0.706954,0.014715,-0.014715,-0.706954,img_0_0_1533558245438814200.png
1533558244414,6.492598,0.000002,-7.167906,0.706986,0.013090,-0.013090,-0.706986,img_0_0_1533558245564863500.png
1533558244519,6.466170,0.000002,-7.167519,0.707011,0.011639,-0.011639,-0.707011,img_0_0_1533558245667147600.png
1533558244639,6.440338,0.000002,-7.167485,0.707036,0.010028,-0.010028,-0.707036,img_0_0_1533558245793167800.png
