timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
20343949,0,307872066,1038586442,565988,525709,357619200,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.01,0.0,0.0,0.01,-1.5707965,-20343949,6,1,17
20551971,0,307872066,1038586442,565985,525707,357619400,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.01,-0.01,0.0,0.0,-1.5707965,-20551971,6,1,17
20741870,0,307872066,1038586442,565983,525704,357619600,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.04,0.0,0.0,0.04,-1.5707965,-20741870,6,1,17
20950950,0,307872066,1038586442,565982,525703,357619800,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.07,0.0,0.01,0.07,-1.5707965,-20950950,6,1,17
21141923,0,307872066,1038586442,565981,525702,357620000,0,0,0.0,0.0,0.010000001,0.010000001,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-21141923,6,1,17
21351074,0,307872066,1038586442,565984,525705,357620200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.08,0.0,0.0,-0.08,-1.5707965,-21351074,6,1,17
21539931,0,307872066,1038586442,565985,525706,357620400,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-21539931,6,1,17
21749866,0,307872066,1038586442,565987,525708,357620600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.01,0.01,0.0,0.0,-1.5707965,-21749866,6,1,17
21939063,0,307872066,1038586442,565985,525706,357620800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.0,0.0,0.0,-1.5707965,-21939063,6,1,17
22147044,0,307872066,1038586442,565986,525707,357621000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.0,0.0,-0.04,-1.5707965,-22147044,6,1,17
22356060,0,307872066,1038586443,565986,525707,357621200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.01,0.01,-0.04,-1.5707965,-22356060,6,1,17
22545867,0,307872065,1038586442,565985,525706,357621400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,0.0,0.0,0.04,-1.5707965,-22545867,6,1,17
22755159,0,307872066,1038586442,565984,525705,357621600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,0.02,-1.5707965,-22755159,6,1,17
